iter	commit	val_score	headroom	status	change_class	agent	model	rationale
2		0.790165	0.360456	keep	architecture	r2gaussian-search-tpe	random-search	r2gaussian-search-tpe: gs_n_gaussians=512, gs_n_iter=483, gs_lr_pos=0.0018713, gs_lr_scale=0.02335, gs_lr_amp=0.018997, gs_amp_init=0.0084685, gs_scale_init=0.02656, gs_tv_weight=2.5913e-05
5		0.788692	0.361727	keep	architecture	r2gaussian-search-tpe	random-search	r2gaussian-search-tpe: gs_n_gaussians=512, gs_n_iter=524, gs_lr_pos=0.0017168, gs_lr_scale=0.01125, gs_lr_amp=0.01552, gs_amp_init=0.0095308, gs_scale_init=0.023802, gs_tv_weight=1.8218e-05
6		0.759541	0	discard	architecture	r2gaussian-search-tpe	random-search	r2gaussian-search-tpe: gs_n_gaussians=512, gs_n_iter=757, gs_lr_pos=0.017465, gs_lr_scale=0.0051669, gs_lr_amp=0.018889, gs_amp_init=0.015864, gs_scale_init=0.021211, gs_tv_weight=0.00053968
7		0.777304	0	discard	architecture	r2gaussian-search-tpe	random-search	r2gaussian-search-tpe: gs_n_gaussians=1024, gs_n_iter=590, gs_lr_pos=0.0011124, gs_lr_scale=0.007045, gs_lr_amp=0.011848, gs_amp_init=0.012969, gs_scale_init=0.045541, gs_tv_weight=0.00026108
8		0.826014	0	discard	architecture	r2gaussian-search-tpe	random-search	r2gaussian-search-tpe: gs_n_gaussians=512, gs_n_iter=737, gs_lr_pos=0.013372, gs_lr_scale=0.0093582, gs_lr_amp=0.032546, gs_amp_init=0.0053163, gs_scale_init=0.045372, gs_tv_weight=0.00011586
9		0.775356	0	discard	architecture	r2gaussian-search-tpe	random-search	r2gaussian-search-tpe: gs_n_gaussians=1024, gs_n_iter=497, gs_lr_pos=0.0012901, gs_lr_scale=0.011071, gs_lr_amp=0.012717, gs_amp_init=0.014674, gs_scale_init=0.039936, gs_tv_weight=1.1122e-05
10		0.811614	0	discard	architecture	r2gaussian-search-tpe	random-search	r2gaussian-search-tpe: gs_n_gaussians=512, gs_n_iter=649, gs_lr_pos=0.0077671, gs_lr_scale=0.043813, gs_lr_amp=0.026914, gs_amp_init=0.025484, gs_scale_init=0.067176, gs_tv_weight=5.5324e-05
11		0.748558	0.313868	keep	architecture	r2gaussian-search-tpe	random-search	r2gaussian-search-tpe: gs_n_gaussians=512, gs_n_iter=457, gs_lr_pos=0.0020941, gs_lr_scale=0.011847, gs_lr_amp=0.0050126, gs_amp_init=0.0093534, gs_scale_init=0.058073, gs_tv_weight=0.00096376
12		0.792282	0.362176	keep	architecture	r2gaussian-search-tpe	random-search	r2gaussian-search-tpe: gs_n_gaussians=512, gs_n_iter=457, gs_lr_pos=0.002054, gs_lr_scale=0.026009, gs_lr_amp=0.018884, gs_amp_init=0.0088996, gs_scale_init=0.023473, gs_tv_weight=2.6177e-05
13		0.778257	0.326609	keep	architecture	r2gaussian-search-tpe	random-search	r2gaussian-search-tpe: gs_n_gaussians=512, gs_n_iter=417, gs_lr_pos=0.0020426, gs_lr_scale=0.025864, gs_lr_amp=0.014787, gs_amp_init=0.0051616, gs_scale_init=0.031649, gs_tv_weight=2.8365e-05
14		0.824489	0.401391	keep	architecture	r2gaussian-search-tpe	random-search	r2gaussian-search-tpe: gs_n_gaussians=512, gs_n_iter=544, gs_lr_pos=0.0025137, gs_lr_scale=0.030826, gs_lr_amp=0.023035, gs_amp_init=0.010724, gs_scale_init=0.032927, gs_tv_weight=1.96e-05
15		0.83709	0	discard	architecture	r2gaussian-search-tpe	random-search	r2gaussian-search-tpe: gs_n_gaussians=512, gs_n_iter=664, gs_lr_pos=0.005964, gs_lr_scale=0.032461, gs_lr_amp=0.026268, gs_amp_init=0.020563, gs_scale_init=0.035668, gs_tv_weight=5.7234e-05
16		0.804121	0	discard	architecture	r2gaussian-search-tpe	random-search	r2gaussian-search-tpe: gs_n_gaussians=1024, gs_n_iter=407, gs_lr_pos=0.0029144, gs_lr_scale=0.031944, gs_lr_amp=0.048425, gs_amp_init=0.012122, gs_scale_init=0.053819, gs_tv_weight=0.00014502
17		0.78833	0.363551	keep	architecture	r2gaussian-search-tpe	random-search	r2gaussian-search-tpe: gs_n_gaussians=512, gs_n_iter=558, gs_lr_pos=0.0070186, gs_lr_scale=0.049594, gs_lr_amp=0.022164, gs_amp_init=0.0068648, gs_scale_init=0.099817, gs_tv_weight=3.4136e-05
18		0.803995	0.377311	keep	architecture	r2gaussian-search-tpe	random-search	r2gaussian-search-tpe: gs_n_gaussians=512, gs_n_iter=580, gs_lr_pos=0.0081003, gs_lr_scale=0.044808, gs_lr_amp=0.033053, gs_amp_init=0.0062901, gs_scale_init=0.078733, gs_tv_weight=4.866e-05
19		0.840486	0	discard	architecture	r2gaussian-search-tpe	random-search	r2gaussian-search-tpe: gs_n_gaussians=1024, gs_n_iter=667, gs_lr_pos=0.011037, gs_lr_scale=0.034652, gs_lr_amp=0.032904, gs_amp_init=0.0058097, gs_scale_init=0.075161, gs_tv_weight=0.00018095
