iter	commit	val_score	headroom	status	change_class	agent	model	rationale
1		0.863678	0	discard	architecture	naf-claude-agentic-breast-ct	claude-opus-4.7-1m	naf-claude-agentic: val_n=20, rationale=iter-1 baseline: NAF per-scene implicit field (CONFIG defaults, 600s outer wall, val_n=20); feasibility vs LD-FBP headroom
2		0.867901	0	discard	architecture	naf-claude-agentic-breast-ct	claude-opus-4.7-1m	naf-claude-agentic: val_n=20, rationale=iter-2 (toward 20): naf_tv_weight 1e-4->1e-3 (iter-1 0.864 << LD-FBP; per-scene field overfits noise, stronger TV reg to suppress), naf_tv_weight=0.001
3		0.855113	0	discard	architecture	naf-claude-agentic-breast-ct	claude-opus-4.7-1m	naf-claude-agentic: val_n=20, rationale=iter-3 (toward 20): naf_lr 5e-3->2e-3 (tv_weight 1e-3 barely lifted 0.864->0.868; slower lr for stabler per-scene fit), naf_tv_weight=0.001, naf_lr=0.002
4		0.881585	0	discard	architecture	naf-claude-agentic-breast-ct	claude-opus-4.7-1m	naf-claude-agentic: val_n=20, rationale=iter-4 (toward 20): naf_n_freqs 10->14 (best 0.868 tv_weight=1e-3; more positional-encoding bands for finer detail), naf_tv_weight=0.001, naf_n_freqs=14
5		0.881966	0	discard	architecture	naf-claude-agentic-breast-ct	claude-opus-4.7-1m	naf-claude-agentic: val_n=20, rationale=iter-5 (toward 20): naf_n_freqs 14->18 (10->14 lifted 0.868->0.882; push the working lever), naf_tv_weight=0.001, naf_n_freqs=18
6		0.897719	0	discard	architecture	naf-claude-agentic-breast-ct	claude-opus-4.7-1m	naf-claude-agentic: val_n=20, rationale=iter-6 (toward 20): naf_hidden 192->256 (n_freqs plateaued 0.882; more MLP capacity for the field), naf_tv_weight=0.001, naf_n_freqs=14, naf_hidden=256
7		0.581698	0	discard	architecture	naf-claude-agentic-breast-ct	claude-opus-4.7-1m	naf-claude-agentic: val_n=20, rationale=iter-7 (toward 20): naf_hidden 256->384 (climbing with capacity: 192->0.882, 256->0.898; how close to FBP can the per-scene field get?), naf_tv_weight=0.001, naf_n_freqs=14, naf_hidden=384
8		0.856391	0	discard	architecture	naf-claude-agentic-breast-ct	claude-opus-4.7-1m	naf-claude-agentic: val_n=20, rationale=iter-8 (toward 20): naf_layers 5->6 (hidden=256=0.898 peak, 384 collapsed 0.582; try depth not width from best width), naf_tv_weight=0.001, naf_n_freqs=14, naf_hidden=256, naf_layers=6
9		0.909536	0	discard	architecture	naf-claude-agentic-breast-ct	claude-opus-4.7-1m	naf-claude-agentic: val_n=20, rationale=iter-9 (toward 20): naf_n_iter 2000->3000 at hidden=256 (best 0.898; more inner-opt iters - deeper per-scene fit or noise-overfit?), naf_tv_weight=0.001, naf_n_freqs=14, naf_hidden=256, naf_n_iter=3000
10		0.783174	0	discard	architecture	naf-claude-agentic-breast-ct	claude-opus-4.7-1m	naf-claude-agentic: val_n=20, rationale=iter-10 (toward 20): naf_n_iter 3000->4000 (climbing: 2000->0.898, 3000->0.910; how close to FBP 0.92 with more per-scene optim?), naf_tv_weight=0.001, naf_n_freqs=14, naf_hidden=256, naf_n_iter=4000
11		0.911204	0	discard	architecture	naf-claude-agentic-breast-ct	claude-opus-4.7-1m	naf-claude-agentic: val_n=20, rationale=iter-11 (toward 20): naf_tv_weight 1e-3->1e-2 at n_iter=3000 (n_iter=4000 overfit to 0.783; stronger TV reg to suppress noise-overfit), naf_tv_weight=0.01, naf_n_freqs=14, naf_hidden=256, naf_n_iter=3000
