iter	commit	val_score	headroom	status	change_class	agent	model	rationale
1		0.922623	0	discard	architecture	ram_zeroshot-claude-agentic-breast-ct	claude-opus-4.7-1m	ram_zeroshot-claude-agentic: val_n=20, seed=42, rationale=iter-1 feasibility: RAM (Terris 2025) zero-shot on Mayo val L277 at native ps 0.742 (single-patient val -> no per-slice physics); frozen inference + deepinv physics adapter. Does a foreign-pretrained foundation model beat LD-FBP on real LDCT?
2		0.932894	0	discard	architecture	ram_zeroshot-claude-agentic-breast-ct	claude-opus-4.7-1m	ram_zeroshot-claude-agentic: val_n=20, seed=42, rationale=iter-2 (toward 20): ram_post_fbp_blend 0->0.5 (only knob). RAM alone 0.9226 < LD-FBP (hr 0); blend 50% FBP - does RAM denoising complement FBP to beat it?, ram_post_fbp_blend=0.5
3		0.91703	0	discard	architecture	ram_zeroshot-claude-agentic-breast-ct	claude-opus-4.7-1m	ram_zeroshot-claude-agentic: val_n=20, seed=42, rationale=iter-3 (toward 20): ram_post_fbp_blend 0.5->0.7 (only knob). blend 0->0.5 gave +0.01 (0.9226->0.9329); push 0.7 - where does it cap vs pure FBP?, ram_post_fbp_blend=0.7
4		0.932894	0	discard	architecture	ram_zeroshot-claude-agentic-breast-ct	claude-opus-4.7-1m	ram_zeroshot-claude-agentic: val_n=20, seed=42, rationale=iter-4 (toward 20): ram_finetune True (only knob; blend=0.5 best 0.9329). Test-time adaptation - can per-scan finetuning lift RAM past LD-FBP?, ram_post_fbp_blend=0.5, ram_finetune=True
5		0.921443	0	discard	architecture	ram_zeroshot-claude-agentic-breast-ct	claude-opus-4.7-1m	ram_zeroshot-claude-agentic: val_n=20, seed=42, rationale=iter-5 (toward 20): finetune 3ep REDISPATCH (5ep timed out >1h; test-time adaptation vs LD-FBP, 3ep fits 1h), ram_post_fbp_blend=0.5, ram_finetune=True, ram_finetune_epochs=3
6		0.938566	0	discard	architecture	ram_zeroshot-claude-agentic-breast-ct	claude-opus-4.7-1m	ram_zeroshot-claude-agentic: val_n=20, seed=42, rationale=iter-6 (toward 20): blend 0.5->0.3 (finetune hurt 0.9214; map blend curve - 0.5=0.9329 best, 0.7=0.917, test more-RAM side), ram_post_fbp_blend=0.3
7		0.92605	0	discard	architecture	ram_zeroshot-claude-agentic-breast-ct	claude-opus-4.7-1m	ram_zeroshot-claude-agentic: val_n=20, seed=42, rationale=iter-7 (toward 20): blend 0.5->0.6 (refine peak; 0.5=0.9329 best > 0.3,0.7=0.917), ram_post_fbp_blend=0.6
8		0.936675	0	discard	architecture	ram_zeroshot-claude-agentic-breast-ct	claude-opus-4.7-1m	ram_zeroshot-claude-agentic: val_n=20, seed=42, rationale=iter-8 (toward 20): blend 0.3->0.2 (curve peaks ~0.3=0.9386; probe more-RAM side: 0.5=0.9329,0.6=0.926,0.7=0.917), ram_post_fbp_blend=0.2
9		0.923346	0	discard	architecture	ram_zeroshot-claude-agentic-breast-ct	claude-opus-4.7-1m	ram_zeroshot-claude-agentic: val_n=20, seed=42, rationale=iter-9 (toward 20): ram_factor 1.0->1.5 at blend=0.3 (blend peak 0.3=0.9386; scale the RAM denoiser output - new lever vs FBP), ram_post_fbp_blend=0.3, ram_factor=1.5
10		0.939324	0	discard	architecture	ram_zeroshot-claude-agentic-breast-ct	claude-opus-4.7-1m	ram_zeroshot-claude-agentic: val_n=20, seed=42, rationale=iter-10 (toward 20): ram_factor 1.0->0.7 at blend=0.3 peak (factor=1.5 hurt 0.9233; map the under-side - does scaling RAM output DOWN help vs the 0.9386 peak?), ram_post_fbp_blend=0.3, ram_factor=0.7
11		0.938473	0	discard	architecture	ram_zeroshot-claude-agentic-breast-ct	claude-opus-4.7-1m	ram_zeroshot-claude-agentic: val_n=20, seed=42, rationale=iter-11 (toward 20): ram_factor 0.7->0.5 at blend=0.3 (factor curve: 1.5=0.9233, 1.0=0.9386, 0.7=0.9393 slight peak; map where down-scaling turns over), ram_post_fbp_blend=0.3, ram_factor=0.5
