iter	commit	val_score	headroom	status	change_class	agent	model	rationale
1		0.455411	0	discard	architecture	diff-recon-dcstep-unconstrained-breast-v2-search-tpe-calibrated-breast-ct	random-search	diff-recon-dcstep-unconstrained-breast-v2-search-tpe-calibrated-breast-ct: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_breast_unconstrained_v2.pt, recon_mode=dps, recon_sample_steps=500, recon_eta=30, recon_init=fbp, recon_eta_clamp=False, recon_dcstep_every=3, recon_dcstep_n_cg=20, recon_dcstep_warmup=25, recon_dcstep_relax=1
2		0.452084	0	discard	architecture	diff-recon-dcstep-unconstrained-breast-v2-search-tpe-calibrated-breast-ct	random-search	diff-recon-dcstep-unconstrained-breast-v2-search-tpe-calibrated-breast-ct: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_breast_unconstrained_v2.pt, recon_mode=dps, recon_sample_steps=800, recon_eta=4.2755, recon_init=noise, recon_eta_clamp=True, recon_dcstep_every=3, recon_dcstep_n_cg=20, recon_dcstep_warmup=10, recon_dcstep_relax=0.95
3		0.360611	0	discard	architecture	diff-recon-dcstep-unconstrained-breast-v2-search-tpe-calibrated-breast-ct	random-search	diff-recon-dcstep-unconstrained-breast-v2-search-tpe-calibrated-breast-ct: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_breast_unconstrained_v2.pt, recon_mode=dps, recon_sample_steps=500, recon_eta=10.7, recon_init=noise, recon_eta_clamp=False, recon_dcstep_every=4, recon_dcstep_n_cg=25, recon_dcstep_warmup=40, recon_dcstep_relax=0.95
4		0.365634	0	discard	architecture	diff-recon-dcstep-unconstrained-breast-v2-search-tpe-calibrated-breast-ct	random-search	diff-recon-dcstep-unconstrained-breast-v2-search-tpe-calibrated-breast-ct: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_breast_unconstrained_v2.pt, recon_mode=dps, recon_sample_steps=200, recon_eta=8.6163, recon_init=fbp, recon_eta_clamp=True, recon_dcstep_every=3, recon_dcstep_n_cg=20, recon_dcstep_warmup=25, recon_dcstep_relax=0.85
5		0.275761	0	discard	architecture	diff-recon-dcstep-unconstrained-breast-v2-search-tpe-calibrated-breast-ct	random-search	diff-recon-dcstep-unconstrained-breast-v2-search-tpe-calibrated-breast-ct: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_breast_unconstrained_v2.pt, recon_mode=dps, recon_sample_steps=800, recon_eta=24.952, recon_init=noise, recon_eta_clamp=False, recon_dcstep_every=5, recon_dcstep_n_cg=25, recon_dcstep_warmup=40, recon_dcstep_relax=0.85
6		0.35981	0	discard	architecture	diff-recon-dcstep-unconstrained-breast-v2-search-tpe-calibrated-breast-ct	random-search	diff-recon-dcstep-unconstrained-breast-v2-search-tpe-calibrated-breast-ct: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_breast_unconstrained_v2.pt, recon_mode=dps, recon_sample_steps=500, recon_eta=46.335, recon_init=fbp, recon_eta_clamp=False, recon_dcstep_every=3, recon_dcstep_n_cg=15, recon_dcstep_warmup=25, recon_dcstep_relax=1
7		0.326342	0	discard	architecture	diff-recon-dcstep-unconstrained-breast-v2-search-tpe-calibrated-breast-ct	random-search	diff-recon-dcstep-unconstrained-breast-v2-search-tpe-calibrated-breast-ct: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_breast_unconstrained_v2.pt, recon_mode=dps, recon_sample_steps=500, recon_eta=59.819, recon_init=fbp, recon_eta_clamp=False, recon_dcstep_every=5, recon_dcstep_n_cg=10, recon_dcstep_warmup=25, recon_dcstep_relax=1
8		0.314048	0	discard	architecture	diff-recon-dcstep-unconstrained-breast-v2-search-tpe-calibrated-breast-ct	random-search	diff-recon-dcstep-unconstrained-breast-v2-search-tpe-calibrated-breast-ct: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_breast_unconstrained_v2.pt, recon_mode=dps, recon_sample_steps=200, recon_eta=23, recon_init=fbp, recon_eta_clamp=False, recon_dcstep_every=4, recon_dcstep_n_cg=20, recon_dcstep_warmup=10, recon_dcstep_relax=1
9		0.341033	0	discard	architecture	diff-recon-dcstep-unconstrained-breast-v2-search-tpe-calibrated-breast-ct	random-search	diff-recon-dcstep-unconstrained-breast-v2-search-tpe-calibrated-breast-ct: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_breast_unconstrained_v2.pt, recon_mode=dps, recon_sample_steps=500, recon_eta=23.743, recon_init=fbp, recon_eta_clamp=True, recon_dcstep_every=3, recon_dcstep_n_cg=10, recon_dcstep_warmup=25, recon_dcstep_relax=1
10		0.426191	0	discard	architecture	diff-recon-dcstep-unconstrained-breast-v2-search-tpe-calibrated-breast-ct	random-search	diff-recon-dcstep-unconstrained-breast-v2-search-tpe-calibrated-breast-ct: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_breast_unconstrained_v2.pt, recon_mode=dps, recon_sample_steps=500, recon_eta=3.007, recon_init=fbp, recon_eta_clamp=False, recon_dcstep_every=3, recon_dcstep_n_cg=15, recon_dcstep_warmup=25, recon_dcstep_relax=1
