iter	commit	val_score	headroom	status	change_class	agent	model	rationale
1		0.6658	0.4689	keep	architecture	claude-diffusion-recon-agent	claude-sonnet-4.7	iter 1: DPS + DC-step every 5 (warmup 10, n_cg=5, relax=0.5), eta=1.0, 200 steps, FBP init, unconstrained DDPM. Goal: verify DC-step unsticks the saturated-white collapse.
2		0.7406	0.54	keep	architecture	claude-diffusion-recon-agent	claude-sonnet-4.7	iter 2: tighter DC pressure — relax 0.5->0.8, n_cg 5->10. Otherwise same as iter 1.
3		0.7423	0.5456	keep	architecture	claude-diffusion-recon-agent	claude-sonnet-4.7	iter 3: relax 0.8->1.0 (full hard projection). Otherwise same as iter 2.
4		0.7525	0.5499	keep	architecture	claude-diffusion-recon-agent	claude-sonnet-4.7	iter 4: dcstep_every 5->3. Otherwise same as iter 3.
5		0.747	0.554	keep	architecture	claude-diffusion-recon-agent	claude-sonnet-4.7	iter 5: 500 sample steps (vs 200). dcstep_every back to 5 with warmup 25.
6		0.7415	0.5401	discard	architecture	claude-diffusion-recon-agent	claude-sonnet-4.7	iter 6: switch DPS -> MCG mode (FBP-based pseudoinverse gradient). dcstep_every=3, relax=1.0, n_cg=10.
7		0.7213	0.5277	discard	architecture	claude-diffusion-recon-agent	claude-sonnet-4.7	iter 7: switch to constrained DDPM ckpt (200 phantoms train).
8		0.7424	0.5412	discard	architecture	claude-diffusion-recon-agent	claude-sonnet-4.7	iter 8: eta 1.0->0.3 (less DPS pull, more DC-step weight).
9		0.7629	0.5569	keep	architecture	claude-diffusion-recon-agent	claude-sonnet-4.7	iter 9: eta 1.0->3.0 (more aggressive DPS pull, with full DC-step backstop).
10		0.7623	0.5621	keep	architecture	claude-diffusion-recon-agent	claude-sonnet-4.7	iter 10: eta 3.0->10.0 (push aggressive DPS pull further).
11		0.7269	0.5597	discard	architecture	claude-diffusion-recon-agent	claude-sonnet-4.7	iter 11: dcstep_warmup 10->5 (DC kicks in earlier).
12		0.7411	0.5625	keep	architecture	claude-diffusion-recon-agent	claude-sonnet-4.7	iter 12: eta 10->30 (push aggressive limit).
13		0.8078	0.5561	keep	architecture	claude-diffusion-recon-agent	claude-sonnet-4.7	iter 13: eta=30 + 500 steps (longer trajectory). dcstep_every=5, warmup=25.
14		0.7186	0.564	keep	architecture	claude-diffusion-recon-agent	claude-sonnet-4.7	iter 14: 500 steps + dcstep_every=3 (158 DC-steps total, max DC pressure).
15		0.7362	0.5641	keep	architecture	claude-diffusion-recon-agent	claude-sonnet-4.7	iter 15: noise init (vs FBP). Same 500 steps, dcstep_every=3, n_cg=10, eta=30.
16		0.6495	0.5712	keep	architecture	claude-diffusion-recon-agent	claude-sonnet-4.7	iter 16: n_cg 10->20 (double CG per DC-step). NEW BEST +0.0072. DC projection was undersolved.
17		0.4792	0.459	discard	architecture	claude-diffusion-recon-agent	claude-sonnet-4.7	iter 17: n_cg 20->40. BIG REGRESSION -0.112. Over-fits noisy sinogram. n_cg=20 = ceiling on CG axis.
18		0.5888	0.5402	discard	architecture	claude-diffusion-recon-agent	claude-sonnet-4.7	iter 18: eta 30->100 with n_cg=20. REGRESSION -0.031. eta=30 = ceiling on DPS axis when projection is strong.
19		0.6544	0.567	discard	architecture	claude-diffusion-recon-agent	claude-sonnet-4.7	iter 19: dcstep_every 3->2 (237 DC events). Slight regression -0.004. every=3 confirmed as DC-frequency sweet spot.
20		0.6488	0.5632	discard	architecture	claude-diffusion-recon-agent	claude-sonnet-4.7	iter 20: eta 30->50 refinement. -0.008 vs iter 16. eta=30 confirmed as peak. Search complete: best=iter16 hr=0.5712.
