iter	commit	val_score	headroom	status	change_class	agent	model	rationale
1		0.750211	0	discard	architecture	r2gaussian-claude-agentic-breast-ct	claude-opus-4.7-1m	r2gaussian-claude-agentic: val_n=20, rationale=iter-1 baseline: R2-Gaussian per-scan splatting (CONFIG defaults, val_n=20); feasibility vs LD-FBP headroom
2		0.678291	0	discard	architecture	r2gaussian-claude-agentic-breast-ct	claude-opus-4.7-1m	r2gaussian-claude-agentic: gs_init_from_fbp=True, val_n=20, rationale=iter-2 (toward 20): gs_init_from_fbp False->True (iter-1 cold-init 0.75 wastes Gaussians on bg; FBP-warm-start anchors on anatomy - the R2G key lever)
3		0.766019	0	discard	architecture	r2gaussian-claude-agentic-breast-ct	claude-opus-4.7-1m	r2gaussian-claude-agentic: val_n=20, rationale=iter-3 (toward 20): gs_n_iter 600->1200 (cold-init 0.75 best; warm-start refuted; more optim iters for deeper per-scan fit), gs_n_iter=1200
4			0	discard	architecture	r2gaussian-claude-agentic-breast-ct	claude-opus-4.7-1m	r2gaussian-claude-agentic: val_n=20, rationale=iter-4 (toward 20): gs_n_gaussians 1024->2048 (gs_n_iter helped 0.75->0.766; more capacity), gs_n_iter=1200, gs_n_gaussians=2048
5		0.801272	0	discard	architecture	r2gaussian-claude-agentic-breast-ct	claude-opus-4.7-1m	r2gaussian-claude-agentic: val_n=20, rationale=iter-5 (toward 20): gs_n_iter 1200->2000 (iter-4 gs_n_gaussians=2048 OOM/blank; safe deeper-optim instead; 1200 gave 0.766), gs_n_iter=2000
6		0.841091	0	discard	architecture	r2gaussian-claude-agentic-breast-ct	claude-opus-4.7-1m	r2gaussian-claude-agentic: val_n=20, rationale=iter-6 (toward 20): gs_n_iter 2000->3000 (climbing with optim depth: 1200->0.766, 2000->0.801; how high before plateau vs FBP?), gs_n_iter=3000
7		0.870745	0	discard	architecture	r2gaussian-claude-agentic-breast-ct	claude-opus-4.7-1m	r2gaussian-claude-agentic: val_n=20, rationale=iter-7 (toward 20): gs_n_iter 3000->4000 (steady climb 0.766/0.801/0.841 per +1000; map the per-scan-splat ceiling vs FBP 0.92), gs_n_iter=4000
8		0.877469	0	discard	architecture	r2gaussian-claude-agentic-breast-ct	claude-opus-4.7-1m	r2gaussian-claude-agentic: val_n=20, rationale=iter-8 (toward 20): gs_n_iter 4000->5000 (linear climb 0.766->0.871; does per-scan splat reach FBP ~0.92 with enough optim, or plateau below?), gs_n_iter=5000
9		0.880589	0	discard	architecture	r2gaussian-claude-agentic-breast-ct	claude-opus-4.7-1m	r2gaussian-claude-agentic: val_n=20, rationale=iter-9 (toward 20): gs_n_iter 5000->6000 (climbing; does per-scan splat reach FBP ~0.92?), gs_n_iter=6000
10		0.84091	0	discard	architecture	r2gaussian-claude-agentic-breast-ct	claude-opus-4.7-1m	r2gaussian-claude-agentic: val_n=20, rationale=iter-10 (toward 20): gs_tv_weight 1e-4->1e-3 at gs_n_iter=3000 (gs_n_iter lever exhausted ~0.88<FBP; more field-TV to denoise the splat), gs_n_iter=3000, gs_tv_weight=0.001
11		0.897427	0	discard	architecture	r2gaussian-claude-agentic-breast-ct	claude-opus-4.7-1m	r2gaussian-claude-agentic: val_n=20, rationale=iter-11 (toward 20): gs_scale_init 0.04->0.02 at gs_n_iter=3000 (gs_tv_weight no-op; smaller Gaussians for finer detail - new lever), gs_n_iter=3000, gs_scale_init=0.02
12		0.915651	0	discard	architecture	r2gaussian-claude-agentic-breast-ct	claude-opus-4.7-1m	r2gaussian-claude-agentic: val_n=20, rationale=iter-12 (toward 20): gs_n_iter 3000->6000 at gs_scale_init=0.02 (combine both winning levers: depth 0.881 + small-Gaussian 0.897; reach FBP ~0.92?), gs_n_iter=6000, gs_scale_init=0.02
13		0.895343	0	discard	architecture	r2gaussian-claude-agentic-breast-ct	claude-opus-4.7-1m	r2gaussian-claude-agentic: val_n=20, rationale=iter-13 (toward 20): gs_scale_init 0.02->0.01 at gs_n_iter=6000 (combined levers hit 0.9157 ~ FBP 0.92; finer Gaussians - cross FBP into positive hr?), gs_n_iter=6000, gs_scale_init=0.01
