iter	commit	val_score	headroom	status	change_class	agent	model	rationale
1		0.952406	0	discard	architecture	tv-v2-search-tpe-calibrated-breast-ct	random-search	tv-v2-search-tpe-calibrated-breast-ct: tv_lambda=4.7776e-05, tv_iterations=419, tv_lr=0.031814, tv_clip_max=0.055913, tv_decay=0.0037811
2		0.955988	0	discard	architecture	tv-v2-search-tpe-calibrated-breast-ct	random-search	tv-v2-search-tpe-calibrated-breast-ct: tv_lambda=3.9553e-05, tv_iterations=253, tv_lr=0.033764, tv_clip_max=0.093269, tv_decay=0.0011036
3		0.953789	0	discard	architecture	tv-v2-search-tpe-calibrated-breast-ct	random-search	tv-v2-search-tpe-calibrated-breast-ct: tv_lambda=1.2862e-05, tv_iterations=354, tv_lr=0.009943, tv_clip_max=0.06834, tv_decay=0.0020369
4		0.951972	0	discard	architecture	tv-v2-search-tpe-calibrated-breast-ct	random-search	tv-v2-search-tpe-calibrated-breast-ct: tv_lambda=6.4044e-05, tv_iterations=548, tv_lr=0.0084685, tv_clip_max=0.0541, tv_decay=0.0020202
5		0.952299	0	discard	architecture	tv-v2-search-tpe-calibrated-breast-ct	random-search	tv-v2-search-tpe-calibrated-breast-ct: tv_lambda=1.8302e-06, tv_iterations=269, tv_lr=0.014755, tv_clip_max=0.055484, tv_decay=0.0042367
6		0.954574	0	discard	architecture	tv-v2-search-tpe-calibrated-breast-ct	random-search	tv-v2-search-tpe-calibrated-breast-ct: tv_lambda=0.00035141, tv_iterations=749, tv_lr=0.045053, tv_clip_max=0.076541, tv_decay=0.021223
7		0.954064	0	discard	architecture	tv-v2-search-tpe-calibrated-breast-ct	random-search	tv-v2-search-tpe-calibrated-breast-ct: tv_lambda=0.00041403, tv_iterations=498, tv_lr=0.026254, tv_clip_max=0.070581, tv_decay=0.012003
8		0.946267	0	discard	architecture	tv-v2-search-tpe-calibrated-breast-ct	random-search	tv-v2-search-tpe-calibrated-breast-ct: tv_lambda=7.4131e-06, tv_iterations=487, tv_lr=0.0050435, tv_clip_max=0.098436, tv_decay=0.0063455
9		0.95126	0	discard	architecture	tv-v2-search-tpe-calibrated-breast-ct	random-search	tv-v2-search-tpe-calibrated-breast-ct: tv_lambda=0.00010133, tv_iterations=656, tv_lr=0.021882, tv_clip_max=0.051066, tv_decay=0.0062179
10		0.955037	0	discard	architecture	tv-v2-search-tpe-calibrated-breast-ct	random-search	tv-v2-search-tpe-calibrated-breast-ct: tv_lambda=3.7435e-06, tv_iterations=384, tv_lr=0.045708, tv_clip_max=0.081398, tv_decay=0.0035474
11		0.953223	0	discard	architecture	tv-v2-search-tpe-calibrated-breast-ct	random-search	tv-v2-search-tpe-calibrated-breast-ct: tv_lambda=0.00014499, tv_iterations=619, tv_lr=0.017917, tv_clip_max=0.061831, tv_decay=0.011447
12		0.955936	0	discard	architecture	tv-v2-search-tpe-calibrated-breast-ct	random-search	tv-v2-search-tpe-calibrated-breast-ct: tv_lambda=4.0733e-05, tv_iterations=212, tv_lr=0.030672, tv_clip_max=0.091611, tv_decay=0.0013506
13		0.955382	0	discard	architecture	tv-v2-search-tpe-calibrated-breast-ct	random-search	tv-v2-search-tpe-calibrated-breast-ct: tv_lambda=2.2663e-05, tv_iterations=374, tv_lr=0.031919, tv_clip_max=0.084873, tv_decay=0.0010139
14		0.943907	0	discard	architecture	tv-v2-search-tpe-calibrated-breast-ct	random-search	tv-v2-search-tpe-calibrated-breast-ct: tv_lambda=2.1552e-05, tv_iterations=306, tv_lr=0.036925, tv_clip_max=0.099841, tv_decay=0.00265
15		0.95327	0	discard	architecture	tv-v2-search-tpe-calibrated-breast-ct	random-search	tv-v2-search-tpe-calibrated-breast-ct: tv_lambda=0.00016177, tv_iterations=422, tv_lr=0.022394, tv_clip_max=0.063522, tv_decay=0.0014192
16		0.955697	0	discard	architecture	tv-v2-search-tpe-calibrated-breast-ct	random-search	tv-v2-search-tpe-calibrated-breast-ct: tv_lambda=3.5733e-05, tv_iterations=219, tv_lr=0.015049, tv_clip_max=0.087901, tv_decay=0.029749
17		0.954897	0	discard	architecture	tv-v2-search-tpe-calibrated-breast-ct	random-search	tv-v2-search-tpe-calibrated-breast-ct: tv_lambda=6.8778e-05, tv_iterations=304, tv_lr=0.049303, tv_clip_max=0.079849, tv_decay=0.0085476
18		0.955931	0	discard	architecture	tv-v2-search-tpe-calibrated-breast-ct	random-search	tv-v2-search-tpe-calibrated-breast-ct: tv_lambda=8.6782e-06, tv_iterations=454, tv_lr=0.034635, tv_clip_max=0.092153, tv_decay=0.0031345
19		0.954178	0	discard	architecture	tv-v2-search-tpe-calibrated-breast-ct	random-search	tv-v2-search-tpe-calibrated-breast-ct: tv_lambda=1.6318e-05, tv_iterations=596, tv_lr=0.011351, tv_clip_max=0.072224, tv_decay=0.0010089
20		0.953119	0	discard	architecture	tv-v2-search-tpe-calibrated-breast-ct	random-search	tv-v2-search-tpe-calibrated-breast-ct: tv_lambda=1.1186e-06, tv_iterations=799, tv_lr=0.024678, tv_clip_max=0.062093, tv_decay=0.0019699
