iter	commit	val_score	headroom	status	change_class	agent	model	rationale
2		0.826082	0	discard	architecture	r2gaussian-search-tpe-calibrated-breast-ct	random-search	r2gaussian-search-tpe-calibrated-breast-ct: gs_n_gaussians=512, gs_n_iter=483, gs_lr_pos=0.0018713, gs_lr_scale=0.02335, gs_lr_amp=0.018997, gs_amp_init=0.0084685, gs_scale_init=0.02656, gs_tv_weight=2.5913e-05
5		0.831666	0	discard	architecture	r2gaussian-search-tpe-calibrated-breast-ct	random-search	r2gaussian-search-tpe-calibrated-breast-ct: gs_n_gaussians=512, gs_n_iter=524, gs_lr_pos=0.0017168, gs_lr_scale=0.01125, gs_lr_amp=0.01552, gs_amp_init=0.0095308, gs_scale_init=0.023802, gs_tv_weight=1.8218e-05
6		0.885057	0	discard	architecture	r2gaussian-search-tpe-calibrated-breast-ct	random-search	r2gaussian-search-tpe-calibrated-breast-ct: gs_n_gaussians=1024, gs_n_iter=757, gs_lr_pos=0.017465, gs_lr_scale=0.0051669, gs_lr_amp=0.005081, gs_amp_init=0.032893, gs_scale_init=0.09992, gs_tv_weight=0.00053968
8		0.865751	0	discard	architecture	r2gaussian-search-tpe-calibrated-breast-ct	random-search	r2gaussian-search-tpe-calibrated-breast-ct: gs_n_gaussians=1024, gs_n_iter=427, gs_lr_pos=0.0011463, gs_lr_scale=0.0087046, gs_lr_amp=0.012934, gs_amp_init=0.021391, gs_scale_init=0.067479, gs_tv_weight=1.0744e-05
11		0.86712	0	discard	architecture	r2gaussian-search-tpe-calibrated-breast-ct	random-search	r2gaussian-search-tpe-calibrated-breast-ct: gs_n_gaussians=512, gs_n_iter=428, gs_lr_pos=0.0071279, gs_lr_scale=0.025854, gs_lr_amp=0.0085559, gs_amp_init=0.0050714, gs_scale_init=0.082087, gs_tv_weight=0.00096376
12		0.82748	0	discard	architecture	r2gaussian-search-tpe-calibrated-breast-ct	random-search	r2gaussian-search-tpe-calibrated-breast-ct: gs_n_gaussians=512, gs_n_iter=457, gs_lr_pos=0.0021624, gs_lr_scale=0.022686, gs_lr_amp=0.023429, gs_amp_init=0.011814, gs_scale_init=0.02482, gs_tv_weight=3.476e-05
13		0.824486	0	discard	architecture	r2gaussian-search-tpe-calibrated-breast-ct	random-search	r2gaussian-search-tpe-calibrated-breast-ct: gs_n_gaussians=512, gs_n_iter=503, gs_lr_pos=0.0010102, gs_lr_scale=0.016951, gs_lr_amp=0.021325, gs_amp_init=0.006565, gs_scale_init=0.039098, gs_tv_weight=1.023e-05
14		0.838625	0	discard	architecture	r2gaussian-search-tpe-calibrated-breast-ct	random-search	r2gaussian-search-tpe-calibrated-breast-ct: gs_n_gaussians=512, gs_n_iter=391, gs_lr_pos=0.0020229, gs_lr_scale=0.029196, gs_lr_amp=0.010871, gs_amp_init=0.048391, gs_scale_init=0.041334, gs_tv_weight=4.5768e-05
15		0.880205	0	discard	architecture	r2gaussian-search-tpe-calibrated-breast-ct	random-search	r2gaussian-search-tpe-calibrated-breast-ct: gs_n_gaussians=1024, gs_n_iter=613, gs_lr_pos=0.0026534, gs_lr_scale=0.018919, gs_lr_amp=0.0359, gs_amp_init=0.017556, gs_scale_init=0.097606, gs_tv_weight=1.8716e-05
17		0.854482	0	discard	architecture	r2gaussian-search-tpe-calibrated-breast-ct	random-search	r2gaussian-search-tpe-calibrated-breast-ct: gs_n_gaussians=512, gs_n_iter=380, gs_lr_pos=0.0054219, gs_lr_scale=0.012415, gs_lr_amp=0.0065716, gs_amp_init=0.010524, gs_scale_init=0.034506, gs_tv_weight=2.0872e-05
18		0.873425	0	discard	architecture	r2gaussian-search-tpe-calibrated-breast-ct	random-search	r2gaussian-search-tpe-calibrated-breast-ct: gs_n_gaussians=512, gs_n_iter=686, gs_lr_pos=0.0037091, gs_lr_scale=0.0078721, gs_lr_amp=0.012926, gs_amp_init=0.014807, gs_scale_init=0.055086, gs_tv_weight=0.00018943
20		0.828797	0	discard	architecture	r2gaussian-search-tpe-calibrated-breast-ct	random-search	r2gaussian-search-tpe-calibrated-breast-ct: gs_n_gaussians=1024, gs_n_iter=457, gs_lr_pos=0.0012707, gs_lr_scale=0.02106, gs_lr_amp=0.015772, gs_amp_init=0.0056344, gs_scale_init=0.031976, gs_tv_weight=1.445e-05
