iter	commit	val_score	headroom	status	change_class	agent	model	rationale
1		0.949686	0	discard	architecture	tv_iterative-claude-agentic-breast-ct	claude-opus-4.7-1m	tv_iterative-claude-agentic: val_n=20, seed=42, rationale=iter-1 (toward 20): baseline TV (defaults: lambda=0.001, iters=200, lr=0.01, init=fbp, clip=0.05). Feasibility - FBP-init TV denoising, can it clear LD-FBP headroom?
2		0.931884	0	discard	architecture	tv_iterative-claude-agentic-breast-ct	claude-opus-4.7-1m	tv_iterative-claude-agentic: val_n=20, seed=42, rationale=iter-2 (toward 20): tv_lambda 0.001->0.0003 (iter-1 0.9497 hr0, default TV over-smooths < FBP; less reg preserves detail), tv_lambda=0.0003
3		0.933734	0	discard	architecture	tv_iterative-claude-agentic-breast-ct	claude-opus-4.7-1m	tv_iterative-claude-agentic: val_n=20, seed=42, rationale=iter-3 (toward 20): tv_lambda 0.001->0.003 (CORRECTED: iter-2 0.0003 dropped to 0.9319 < iter-1 0.9497; tv needs MORE reg to denoise, not less), tv_lambda=0.003
4		0.945528	0	discard	architecture	tv_iterative-claude-agentic-breast-ct	claude-opus-4.7-1m	tv_iterative-claude-agentic: val_n=20, seed=42, rationale=iter-4 (toward 20): tv_iterations 200->400 (lambda=0.001 best 0.9497; more GD steps for deeper convergence), tv_iterations=400
5		0.707891	0	discard	architecture	tv_iterative-claude-agentic-breast-ct	claude-opus-4.7-1m	tv_iterative-claude-agentic: val_n=20, seed=42, rationale=iter-5 (toward 20): tv_optimizer gd->adam (best 0.9497 lambda=0.001 iters=200; adam may converge the TV-GD better), tv_optimizer=adam
6		0.952816	0.195308	keep	architecture	tv_iterative-claude-agentic-breast-ct	claude-opus-4.7-1m	tv_iterative-claude-agentic: val_n=20, seed=42, rationale=iter-6 (toward 20): tv_clip_max 0.05->0.08 (capped 0.9497; 0.05 may clip bone >0.05 mu; looser clamp preserves high-density detail), tv_clip_max=0.08
7		0.952816	0.195308	keep	architecture	tv_iterative-claude-agentic-breast-ct	claude-opus-4.7-1m	tv_iterative-claude-agentic: val_n=20, seed=42, rationale=iter-7 (toward 20): tv_clip_max 0.08->0.10 (0.08 CLEARED FBP: 0.9497 hr0 -> 0.9528 hr0.195 by preserving bone; push the winning lever), tv_clip_max=0.1
8		0.948103	0.196991	keep	architecture	tv_iterative-claude-agentic-breast-ct	claude-opus-4.7-1m	tv_iterative-claude-agentic: val_n=20, seed=42, rationale=iter-8 (toward 20): tv_lambda 0.001->0.0005 at clip=0.08 (clip 0.08=0.10=0.9528 optimum; less smoothing now bone preserved - more headroom?), tv_clip_max=0.08, tv_lambda=0.0005
9		0.943828	0.11507	keep	architecture	tv_iterative-claude-agentic-breast-ct	claude-opus-4.7-1m	tv_iterative-claude-agentic: val_n=20, seed=42, rationale=iter-9 (toward 20): tv_lr 0.01->0.02 at clip=0.08 (best 0.9528 hr0.20; faster GD step - deeper convergence within 200 iters?), tv_clip_max=0.08, tv_lr=0.02
10		0.948684	0.159934	keep	architecture	tv_iterative-claude-agentic-breast-ct	claude-opus-4.7-1m	tv_iterative-claude-agentic: val_n=20, seed=42, rationale=iter-10 (toward 20): tv_iterations 200->400 at clip=0.08 optimum (iter-4 tested 400 at OLD clip=0.05 pre-bone-fix=0.9455; now bone preserved, more GD steps may deepen convergence past 0.9528), tv_clip_max=0.08, tv_iterations=400
11		0.948103	0.19699	keep	architecture	tv_iterative-claude-agentic-breast-ct	claude-opus-4.7-1m	tv_iterative-claude-agentic: val_n=20, seed=42, rationale=iter-11 (toward 20): tv_lr 0.01->0.005 at clip=0.08 (lr=0.02 overshot to 0.9438, 0.01=0.9528 best; slower GD for finer convergence within 200 iters), tv_clip_max=0.08, tv_lr=0.005
12		0.945398	0.124198	keep	architecture	tv_iterative-claude-agentic-breast-ct	claude-opus-4.7-1m	tv_iterative-claude-agentic: val_n=20, seed=42, rationale=iter-12 (toward 20): tv_decay 0.01->0.0 at clip=0.08 optimum (best 0.9528 hr0.20; lambda/lr/iters all bracketed worse on both sides, clip>=0.08 saturated. Default decay shrinks GD step ~3x by iter200 (1/(1+0.01*200)=0.33x); constant step keeps GD converging the data term through all 200 iters without the lr=0.02 overshoot seen in iter-9), tv_clip_max=0.08, tv_decay=0.0
