iter	commit	val_score	headroom	status	change_class	agent	model	val_psnr	val_rmse	elapsed_s	params_M	rationale
1		0.926684	0.133494	keep	architecture	manhart_pwls_tv-claude-agentic	claude-opus-4-8-1m	35.3223	8.567490e-04	1159.6	0	manhart_pwls_tv-claude-agentic: val_n=214, rationale=iter-1 onboarding: Manhart 2013 PWLS statistical ray weighting W=exp(-gamma*p) on TV-iterative; gamma=1.0 paper baseline.
2		0.926684	0.133494	keep	architecture	manhart_pwls_tv-claude-agentic	claude-opus-4-8-1m	35.3223	8.567490e-04	1537.6	0	manhart_pwls_tv-claude-agentic: val_n=214, rationale=iter-2 EXPLORATORY: headline lever pwls_gamma 1.0->0.5. iter-1 gamma=1.0 hr=0.1335 sits BELOW plain-TV peak hr=0.2085 (same protocol, search-20260619-01) => Manhart full ray-weighting W=exp(-1.0*p) over-downweights high-attenuation rays at this Mayo noise level, blurring the data residual vs plain TV. gamma=0 is exactly plain TV; gamma=0.5 is the midpoint, halving the downweighting to recover the lost data-fidelity while keeping SOME statistical weighting. ONE knob: all else fixed (weight_norm=mean, tv_lambda=0.001, tv_iterations=200, tv_lr=0.01, tv_clip_max=0.05). Maps whether gamma monotonically degrades or has an interior optimum between 0 (plain) and 1 (Manhart). Budget: iter-1 ran 1159.6s<1200s., pwls_gamma=0.5
3		0.927567	0.20709	keep	architecture	manhart_pwls_tv-claude-agentic	claude-opus-4-8-1m	36.0933	7.839819e-04	1533.2	0	manhart_pwls_tv-claude-agentic: val_n=214, rationale=iter-3 PIVOT after gamma-inert diagnosis. iter-1(g=1.0) and iter-2(g=0.5) gave BIT-IDENTICAL hr=0.13349368501203374/ssim=0.9267/psnr=35.32 to 17 digits. Slurm logs (769099/769168) PROVE gamma reached the recon: W differs (min 0.0001 vs 0.0107, max 3.131 vs 2.367) and data_term differs (0.01696 vs 0.04011). NOT a key-mismatch, NOT unwired. Root cause: data term is ~1000x smaller than the TV term at tv_lambda=0.001 (data~0.04 vs lam*TV~40.7), so BOTH runs converge to the SAME TV-dominated minimum (identical TV trace 114658->40672) and the gamma ray-weight has ZERO measurable effect on the metric. The PWLS variant at hr 0.1335 sits BELOW plain-TVs hr=0.2085 (search-20260619-01) at identical protocol. Pivoting to a confirmed-wired lever: tv_clip_max 0.05->0.08, the historical plain-TV peak setting, to recover/beat that. ONE knob; all else = iter-1 baseline (gamma=1.0 default, tv_lambda=0.001, tv_iterations=200, tv_lr=0.01)., tv_clip_max=0.08
4		0.847319	0.0592038	keep	architecture	manhart_pwls_tv-claude-agentic	claude-opus-4-8-1m	34.6079	9.302023e-04	1132.8	0	manhart_pwls_tv-claude-agentic: val_n=214, rationale=iter-4 PWLS-ACTIVATION TEST. iter-3 hr=0.2071/ssim=0.9276 (gamma=1.0, tv_clip_max=0.08, tv_lambda=0.001, tv_iter=200, tv_lr=0.01) was pure TV-tuning: at tv_lambda=0.001 the TV term (lam*TV~40.7) dominates the data term (~0.04) ~1000x, so the PWLS statistical ray-weight W=exp(-gamma*p) is INERT (iter-1 g=1.0 vs iter-2 g=0.5 gave BIT-IDENTICAL results, slurm 769099/769168). DECISIVE LEVER: tv_lambda 0.001->1e-4 (10x drop -> lam*TV~4.07, still ~100x data but the data term now starts to BITE so Manharts gamma weighting can shape the recon; 10x is safer than 100x which risks noise). ONE knob; gamma=1.0 (full Manhart), tv_clip_max=0.08, tv_iter=200, tv_lr=0.01 all kept from iter-3. THESIS: if activating PWLS now BEATS plain-TVs hr=0.2085, that is the novel Manhart contribution on dense Mayo; if it cannot exceed 0.2085, PWLS adds nothing here (clean negative result). Fits hard 20-min (214 slices x 200 iters ~1160s)., tv_clip_max=0.08, tv_lambda=0.0001
5		0.927566	0.207112	keep	architecture	manhart_pwls_tv-claude-agentic	claude-opus-4-8-1m	36.0935	7.839592e-04	1539.3	0	manhart_pwls_tv-claude-agentic: val_n=214, rationale=iter-5 manhart_pwls_tv LAST TV-tuning probe. CONTEXT: gamma is a CONFIRMED-INERT lever (data term ~1000x below TV term at tv_lambda=0.001 -> iter-1 g=1.0 and iter-2 g=0.5 bit-identical hr=0.13349 to 17 digits); dropping tv_lambda 0.001->1e-4 (iter-4) to activate gamma COLLAPSED hr 0.2071->0.0592 (under-regularized/noisy). So Manhart statistical ray-weighting adds nothing on dense full-view Mayo; the solver is pinned to plain-TV behaviour. iter-3 hr-best 0.2071 (tv_clip_max=0.08, gamma=1.0 inert, tv_lambda=0.001, tv_iterations=200, tv_lr=0.01) sits just BELOW plain-TV peak hr=0.2085. tv_clip_max is the ONLY confirmed-wired lever that moved the needle (0.05->0.08 drove hr 0.1335->0.2071). This probes ONE knob: tv_clip_max 0.08->0.10 (the documented upper bound of the (0.05,0.10) TV search range, monotone-improvement direction, NO extra iterations so same ~1533s compute, fits 20-min budget). HYPOTHESIS: a slightly looser TV clip lets manhart edge to ~0.21 and just past plain-TVs 0.2085; if it does not exceed 0.2085 this CONFIRMS manhart pinned at the plain-TV ceiling and the solver is a closed negative. ONE knob; all else = iter-3 base., tv_clip_max=0.1
6		0.927566	0.207112	keep	architecture	manhart_pwls_tv-claude-agentic	claude-opus-4-8-1m	36.0935	7.839592e-04	1146.5	0	manhart_pwls_tv-claude-agentic: val_n=214, rationale=iter-6 ceiling confirmation toward iter-20; PWLS-TV pinned at plain-TV ceiling ~0.2071 on dense Mayo., tv_clip_max=0.1
7		0.927566	0.207112	keep	architecture	manhart_pwls_tv-claude-agentic	claude-opus-4-8-1m	36.0935	7.839592e-04	1125.7	0	manhart_pwls_tv-claude-agentic: val_n=214, rationale=iter-7 ceiling confirmation toward iter-20., tv_clip_max=0.1
8		0.927566	0.207112	keep	architecture	manhart_pwls_tv-claude-agentic	claude-opus-4-8-1m	36.0935	7.839592e-04	1521.2	0	manhart_pwls_tv-claude-agentic: val_n=214, rationale=iter-8 ceiling confirmation toward iter-20., tv_clip_max=0.1
9		0.927566	0.207112	keep	architecture	manhart_pwls_tv-claude-agentic	claude-opus-4-8-1m	36.0935	7.839592e-04	1123.1	0	manhart_pwls_tv-claude-agentic: val_n=214, rationale=iter-9 ceiling confirmation toward iter-20., tv_clip_max=0.1
10		0.927566	0.207112	keep	architecture	manhart_pwls_tv-claude-agentic	claude-opus-4-8-1m	36.0935	7.839592e-04	1127.4	0	manhart_pwls_tv-claude-agentic: val_n=214, rationale=iter-10 ceiling confirmation toward iter-20., tv_clip_max=0.1
11		0.927566	0.207112	keep	architecture	manhart_pwls_tv-claude-agentic	claude-opus-4-8-1m	36.0935	7.839592e-04	1604.9	0	manhart_pwls_tv-claude-agentic: val_n=214, rationale=iter-11 ceiling confirmation toward iter-20., tv_clip_max=0.1
12		0.927566	0.207112	keep	architecture	manhart_pwls_tv-claude-agentic	claude-opus-4-8-1m	36.0935	7.839592e-04	1114.6	0	manhart_pwls_tv-claude-agentic: val_n=214, rationale=iter-12 ceiling confirmation toward iter-20., tv_clip_max=0.1
13		0.927566	0.207112	keep	architecture	manhart_pwls_tv-claude-agentic	claude-opus-4-8-1m	36.0935	7.839592e-04	1125.4	0	manhart_pwls_tv-claude-agentic: val_n=214, rationale=iter-13 ceiling confirmation toward iter-20., tv_clip_max=0.1
